R05大ゾーン,0-9,10-19,20-29,30-39,40-49,50-59,60-74,75-
伊予市1区,2516.0,2768.0,2148.0,3090.0,4064.0,3640.0,6390.0,4473.0
伊予市2区,62.0,131.0,98.0,142.0,184.0,281.0,868.0,776.0
伊予市3区,122.0,209.0,148.0,205.0,311.0,401.0,1065.0,919.0
東温市1区,1987.0,2215.0,2506.0,2572.0,3194.0,2684.0,4949.0,3378.0
東温市2区,626.0,950.0,741.0,893.0,1363.0,1242.0,2451.0,1717.0
松前町,2510.0,2782.0,2189.0,3181.0,4050.0,3544.0,6468.0,4799.0
松山市10区,2382.0,2422.0,2411.0,3039.0,3807.0,3273.0,5154.0,3721.0
松山市11区,2540.0,2628.0,2516.0,3350.0,4115.0,4036.0,5726.0,3959.0
松山市12区,574.0,804.0,624.0,739.0,1231.0,1127.0,2399.0,1847.0
松山市13区,2758.0,2643.0,2490.0,3476.0,4273.0,3498.0,5435.0,3765.0
松山市14区,3339.0,3460.0,2865.0,3870.0,5286.0,4345.0,6465.0,4156.0
松山市15区,4693.0,4995.0,4179.0,5813.0,7634.0,6235.0,9035.0,6125.0
松山市16区,1998.0,1972.0,1787.0,2523.0,3239.0,2521.0,3847.0,2871.0
松山市17区,2047.0,2513.0,1803.0,2560.0,3865.0,3363.0,6121.0,4116.0
松山市18区,2548.0,2663.0,2385.0,3193.0,4161.0,3463.0,5376.0,3705.0
松山市19区,1848.0,2301.0,1829.0,2262.0,3493.0,2839.0,5593.0,3238.0
松山市1区,264.0,275.0,222.0,310.0,583.0,489.0,711.0,479.0
松山市20区,527.0,643.0,616.0,785.0,1138.0,1329.0,2591.0,2197.0
松山市21区,492.0,590.0,383.0,584.0,831.0,613.0,847.0,633.0
松山市22区,549.0,642.0,373.0,566.0,925.0,810.0,1144.0,866.0
松山市23区,72.0,79.0,91.0,122.0,145.0,128.0,146.0,74.0
松山市24区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松山市27区,1676.0,2308.0,1656.0,2096.0,3228.0,2968.0,6086.0,4850.0
松山市28区,57.0,82.0,51.0,97.0,206.0,289.0,1086.0,1309.0
松山市2区,280.0,443.0,838.0,701.0,916.0,965.0,1230.0,784.0
松山市3区,1870.0,3125.0,4236.0,2676.0,3959.0,3837.0,5238.0,4173.0
松山市4区,1200.0,1338.0,2321.0,2504.0,2759.0,2733.0,4108.0,3073.0
松山市5区,2487.0,2694.0,3508.0,4075.0,5099.0,4542.0,6280.0,4110.0
松山市6区,956.0,1668.0,1202.0,1431.0,2105.0,2030.0,2882.0,1910.0
松山市7区,1495.0,2610.0,4324.0,2538.0,3404.0,3330.0,4538.0,2960.0
松山市8区,1206.0,1427.0,826.0,1415.0,1969.0,1915.0,3596.0,2355.0
松山市9区,1593.0,1765.0,1295.0,1938.0,2615.0,2434.0,4045.0,3364.0
砥部町1区,1447.0,1896.0,1425.0,1854.0,2709.0,2329.0,4744.0,3289.0
砥部町2区,20.0,40.0,21.0,22.0,37.0,58.0,169.0,216.0
